lat_grid,lon_grid,fire_count,mean_frp,max_frp,mean_bright,mean_risk,high_conf_pct,norm_count,composite_risk,risk_zone
25.0,83.0,1264,5.74626582278481,121.22,334.74972310126583,47.53361672231967,3.6392405063291138,7.912858394891699,20.84857462827228,Low
19.0,83.0,1218,7.359745484400657,175.53,336.81344006568145,46.78918011938713,3.858784893267652,7.624890446976336,20.81198431084909,Low
17.5,82.0,1655,4.52554078549849,141.19,332.1538791540786,46.19171287355645,1.2688821752265862,10.36058595217228,20.769487326138627,Low
15.0,78.5,1551,5.194081237911026,70.02,338.1893874919407,46.145846640288504,2.4500322372662797,9.709527982972329,20.76914182143968,Low
20.5,86.0,1830,2.907153005464481,37.14,318.0638142076503,45.9361421481207,0.6010928961748634,11.456116188806812,20.692976298769192,Low
25.0,94.5,206,13.496699029126214,404.64,334.2845145631068,47.922072444643526,9.223300970873787,1.2895955928383624,20.6792985004865,Low
10.0,77.0,973,7.821891058581706,152.38,327.57597122302155,47.2556868992084,5.344295991778006,6.091148115687993,20.673732436555326,Low
18.5,83.0,1068,8.093867041198502,212.91,337.65256554307115,46.99860047112554,3.2771535580524342,6.685864529861024,20.636229596451187,Low
8.0,93.0,28,10.92357142857143,29.3,343.1303571428571,48.838283509801,14.285714285714285,0.175284837861525,20.633313884416584,Low
30.0,76.0,1203,6.157772236076475,48.58,340.46,47.17373282323003,3.2418952618453867,7.530987855264805,20.626452211335078,Low
18.0,80.5,1644,4.427475669099757,56.03,335.84664233576643,45.8915637612676,1.2773722627737227,10.291724051583824,20.62277889728538,Low
28.5,79.5,1144,6.106660839160839,128.33,334.6236276223776,47.256838918530995,4.195804195804196,7.16163766119945,20.612065749253283,Low
26.5,94.5,639,9.925430359937403,152.27,330.5792018779342,47.750613485373236,4.694835680751173,4.00025040691123,20.444961356146166,Low
12.0,77.5,390,11.562948717948718,304.56,340.03284615384615,47.78222050212905,6.923076923076923,2.4414673844998123,20.440581984355966,Low
23.5,85.0,1942,1.9101390319258496,29.01,309.61125128733266,45.102178870170476,0.0,12.15725554025291,20.399272045003134,Low
23.5,77.5,1105,6.2694117647058825,75.76,331.7704977375566,46.57807726185102,4.886877828054299,6.917490922749468,20.38869814698507,Low
